Profile,Endpoint,Hostname,Time,RequestCountTotal,RequestCountHttpStatus2xx,RequestCountHttpStatus3xx,RequestCountHttpStatus4xx,RequestCountHttpStatus5xx,RequestCountHttpStatusOthers,RequestCountHttpStatus200,RequestCountHttpStatus206,RequestCountHttpStatus302,RequestCountHttpStatus304,RequestCountHttpStatus404,RequestCountCacheHit,RequestCountCacheMiss,RequestCountCacheNoCache,RequestCountCacheUncacheable,RequestCountCacheOthers,EgressTotal,EgressHttpStatus2xx,EgressHttpStatus3xx,EgressHttpStatus4xx,EgressHttpStatus5xx,EgressHttpStatusOthers,EgressCacheHit,EgressCacheMiss,EgressCacheNoCache,EgressCacheUncacheable,EgressCacheOthers
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 1:00:00 PM,50,50,0,0,0,0,,,,,,50,0,0,0,0,0.06,0.06,0,0,0,0,0.06,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 2:00:00 PM,68,68,0,0,0,0,,,,,,68,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 3:00:00 PM,50,50,0,0,0,0,,,,,,50,0,0,0,0,0.06,0.06,0,0,0,0,0.06,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 4:00:00 PM,68,68,0,0,0,0,,,,,,68,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 5:00:00 PM,67,67,0,0,0,0,,,,,,67,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 6:00:00 PM,17,17,0,0,0,0,,,,,,17,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 7:00:00 PM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 8:00:00 PM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 9:00:00 PM,68,68,0,0,0,0,,,,,,68,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 10:00:00 PM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/13/2017 11:00:00 PM,67,67,0,0,0,0,,,,,,67,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/14/2017 12:00:00 AM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/14/2017 1:00:00 AM,70,70,0,0,0,0,,,,,,70,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
